# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	1	1029	+	ICBHIB_00001	-	-	-	-	-	-
contig_1	cds	1026	3347	+	ICBHIB_00002	1427.0	0.0	0.994	0.962	0.993	UniRef:UniRef50_D7GFL9
contig_1	cds	3420	5099	+	ICBHIB_00003	754.0	2.3e-269	0.987	0.848	0.674	UniRef:UniRef50_O53873
contig_1	cds	5262	6161	-	ICBHIB_00004	-	-	-	-	-	-
contig_1	cds	6186	7139	-	ICBHIB_00005	618.0	6.3e-225	1.0	1.0	0.997	UniRef:UniRef50_D7GFM2
contig_1	cds	7537	8919	-	ICBHIB_00006	957.0	0.0	1.0	0.994	0.976	UniRef:UniRef50_D7GFM5
contig_1	cds	9370	10278	-	ICBHIB_00007	278.0	5.1e-91	0.980	0.925	0.510	UniRef:UniRef50_U7MWB3
contig_1	cds	10275	10619	-	ICBHIB_00008	74.7	1.1e-16	0.860	0.875	0.500	UniRef:UniRef50_A0A4P7RQ73
contig_1	cds	10887	12566	-	ICBHIB_00009	1088.0	0.0	1.0	1.0	0.996	UniRef:UniRef50_A0A0B7NYE6
contig_1	cds	13116	13676	-	ICBHIB_00010	215.0	1.2e-69	0.962	0.873	0.581	UniRef:UniRef50_A0A375I5B4
contig_1	rRNA	13917	14033	-	ICBHIB_00011	104.0	9.4e-18	-	-	-	RFAM:RF00001
contig_1	rRNA	14176	17303	-	ICBHIB_00012	2743.2	6.1e-06	-	-	-	RFAM:RF02541
contig_1	rRNA	17643	19161	-	ICBHIB_00013	1553.5	2.1e-47	-	-	-	RFAM:RF00177
contig_1	cds	20461	22083	-	ICBHIB_00014	739.0	2.0e-264	0.998	0.901	0.753	UniRef:UniRef50_P42384
contig_1	cds	22427	22708	-	ICBHIB_00015	85.5	1.5e-21	0.806	0.862	0.547	UniRef:UniRef50_A0A1H1CJT5
contig_1	cds	22927	24126	+	ICBHIB_00016	384.0	9.7e-130	1.0	0.983	0.504	UniRef:UniRef50_A0A2N3FSC0
contig_1	tRNA	24260	24335	+	ICBHIB_00017	82.9	-	-	-	-	-
contig_1	cds	24615	26945	+	ICBHIB_00018	697.0	5.6e-242	0.996	1.029	0.524	UniRef:UniRef50_U2RHS0
contig_1	cds	27066	29207	-	ICBHIB_00019	1286.0	0.0	0.942	0.894	0.999	UniRef:UniRef50_S3X336
contig_1	cds	29214	29597	-	ICBHIB_00020	144.0	1.9e-43	1.0	0.927	0.606	UniRef:UniRef50_K0BZS0
contig_1	cds	29682	30191	+	ICBHIB_00021	161.0	9.5e-49	0.988	0.835	0.551	UniRef:UniRef50_A0A653M846
contig_1	cds	30216	31193	-	ICBHIB_00022	599.0	5.4e-217	1.037	1.0	0.958	UniRef:UniRef50_D7GFN6
contig_1	cds	31264	32538	-	ICBHIB_00023	826.0	9.2e-304	1.0	1.0	0.998	UniRef:UniRef50_D7GFN7
contig_1	cds	32714	34105	+	ICBHIB_00024	466.0	1.1e-159	1.080	0.992	0.526	UniRef:UniRef50_D7GFN8
contig_1	ncRNA-region	34267	34322	+	-	48.5	5.9e-10	-	-	-	RFAM:RF01747
