# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	70	1476	+	OEJLDF_00001	512.0	2.9e-177	1.051	0.911	0.573	UniRef:UniRef50_B1MDH6
contig_1	cds	1451	2920	-	OEJLDF_00002	458.0	6.9e-156	0.914	0.860	0.553	UniRef:UniRef50_A0A251YFG4
contig_1	cds	3162	3779	+	OEJLDF_00003	-	-	-	-	-	-
contig_1	cds	3776	4213	-	OEJLDF_00004	-	-	-	-	-	-
contig_1	cds	4170	4955	-	OEJLDF_00005	-	-	-	-	-	-
contig_1	cds	4969	6216	-	OEJLDF_00006	585.0	4.0e-208	0.949	0.887	0.723	UniRef:UniRef50_A0A2X4UCS6
contig_1	cds	6688	7632	+	OEJLDF_00007	292.0	1.5e-96	0.908	0.916	0.544	UniRef:UniRef50_G9PGZ8
contig_1	cds	7634	10192	+	OEJLDF_00008	958.0	0.0	1.0	0.966	0.623	UniRef:UniRef50_D7GHD5
contig_1	cds	10295	11371	-	OEJLDF_00009	718.0	3.6e-263	1.0	1.0	0.997	UniRef:UniRef50_R7XRQ4
contig_1	cds	12516	13385	-	OEJLDF_00010	-	-	-	-	-	-
contig_1	cds	13513	14274	+	OEJLDF_00011	-	-	-	-	-	-
contig_1	cds	14274	14672	+	OEJLDF_00012	-	-	-	-	-	-
contig_1	cds	15068	15655	+	OEJLDF_00013	-	-	-	-	-	-
contig_1	cds	15636	16034	+	OEJLDF_00014	-	-	-	-	-	-
contig_1	cds	16482	16808	+	OEJLDF_00015	130.0	9.9e-39	1.009	0.948	0.550	UniRef:UniRef50_A0A837DAV0
contig_1	cds	17061	18728	+	OEJLDF_00016	1107.0	0.0	1.0	1.0	0.998	UniRef:UniRef50_A0A2C7AH28
contig_1	cds	19010	19531	+	OEJLDF_00017	-	-	-	-	-	-
contig_1	cds	19613	20920	+	OEJLDF_00018	853.0	0.0	1.193	1.0	0.836	UniRef:UniRef50_G9PHX7
contig_1	cds	20968	22890	-	OEJLDF_00019	1269.0	0.0	1.0	1.0	1.0	UniRef:UniRef50_A0A509MBV8
contig_1	cds	22912	24675	-	OEJLDF_00020	1155.0	0.0	1.0	1.0	0.988	UniRef:UniRef50_D7GHI0
contig_1	cds	24686	25567	-	OEJLDF_00021	290.0	7.3e-96	0.993	0.912	0.522	UniRef:UniRef50_S3XA14
contig_1	cds	25628	26080	-	OEJLDF_00022	258.0	3.0e-88	1.0	1.0	0.980	UniRef:UniRef50_D7GHH7
contig_1	cds	26077	26823	-	OEJLDF_00023	272.0	1.3e-90	0.919	0.919	0.583	UniRef:UniRef50_A0A2Z5QWS0
contig_1	cds	26987	27856	+	OEJLDF_00024	372.0	3.7e-128	0.990	0.854	0.622	UniRef:UniRef50_Q9ZAE7
contig_1	cds	27951	30071	+	OEJLDF_00025	800.0	9.9e-284	1.035	1.008	0.581	UniRef:UniRef50_D7GHH4
