#Annotated with Bakta v1.11.3, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	3162	3779	+	OEJLDF_00003	22.4	5.3		
contig_1	3776	4213	-	OEJLDF_00004	15.2	6.1	PF13524.12|Glyco_trans_1_2, PF13692.12|Glyco_trans_1_4	PFAM:PF13524.12, PFAM:PF13692.12
contig_1	4170	4955	-	OEJLDF_00005	28.8	11.3	PF13439.12|Glyco_transf_4, PF13579.12|Glyco_trans_4_4	PFAM:PF13439.12, PFAM:PF13579.12
contig_1	12516	13385	-	OEJLDF_00010	31.6	11.7		
contig_1	13513	14274	+	OEJLDF_00011	26.8	4.7	PF00712.24|DNA_pol3_beta, PF02767.21|DNA_pol3_beta_2	PFAM:PF00712.24, PFAM:PF02767.21
contig_1	14274	14672	+	OEJLDF_00012	14.2	4.5	PF02768.20|DNA_pol3_beta_3	PFAM:PF02768.20
contig_1	15068	15655	+	OEJLDF_00013	21.3	10.1		
contig_1	15636	16034	+	OEJLDF_00014	14.0	4.8		
contig_1	19010	19531	+	OEJLDF_00017	18.8	10.3		
contig_1	30522	32135	+	OEJLDF_00026	58.4	9.0		
contig_1	32238	32534	-	OEJLDF_00027	10.5	5.7		
contig_1	34643	36115	+	OEJLDF_00032	52.6	8.9	PF03734.19|YkuD, PF17964.7|Big_10	PFAM:PF03734.19, PFAM:PF17964.7
contig_1	38237	38638	-	OEJLDF_00034	14.3	5.0	PF01262.27|AlaDh_PNT_C	PFAM:PF01262.27
contig_1	39573	40067	-	OEJLDF_00035	17.2	4.8	PF00005.33|ABC_tran	PFAM:PF00005.33
contig_1	40010	41539	-	OEJLDF_00036	52.7	10.3	PF00005.33|ABC_tran	PFAM:PF00005.33
contig_1	41539	42504	-	OEJLDF_00037	33.5	4.5	PF00005.33|ABC_tran	PFAM:PF00005.33
contig_1	42501	43430	-	OEJLDF_00038	32.3	11.9		
contig_1	48064	48234	+	OEJLDF_00042	5.7	11.4		
contig_1	52363	52521	-	OEJLDF_00046	5.6	8.3		
contig_1	53711	54121	+	OEJLDF_00048	14.4	8.3		SO:0001217, UniRef:UniRef50_D7GHF4
contig_1	54158	55075	-	OEJLDF_00049	33.1	5.2	PF10722.14|YbjN	PFAM:PF10722.14
contig_1	55313	55831	-	OEJLDF_00051	18.1	10.6	PF12089.13|DUF3566	PFAM:PF12089.13
contig_1	59152	60036	-	OEJLDF_00056	31.4	5.0		SO:0001217, UniRef:UniRef50_D7GHE6
contig_1	65499	65975	-	OEJLDF_00059	17.1	4.6		
contig_1	67469	67870	+	OEJLDF_00061	14.5	4.5	PF00535.33|Glycos_transf_2	PFAM:PF00535.33
contig_1	67843	68382	+	OEJLDF_00062	20.4	9.2		
contig_1	77164	77478	+	OEJLDF_00068	11.2	4.6		
contig_1	79171	80088	+	OEJLDF_00070	34.1	9.6	PF01061.29|ABC2_membrane	PFAM:PF01061.29
contig_1	84332	84583	-	OEJLDF_00074	9.3	11.9		
