# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	100	1620	+	FGLLDJ_00001	695.0	8.2e-249	0.998	0.962	0.653	UniRef:UniRef50_A0A7K1EQ38
contig_1	cds	1631	2533	+	FGLLDJ_00002	-	-	-	-	-	-
contig_1	cds	2530	3288	+	FGLLDJ_00003	502.0	3.2e-181	1.0	1.0	1.0	UniRef:UniRef50_D7GEP6
contig_1	cds	3600	3956	-	FGLLDJ_00004	147.0	4.0e-45	1.034	0.976	0.623	UniRef:UniRef50_A0A3T1AW50
contig_1	cds	4029	4289	-	FGLLDJ_00005	111.0	1.1e-31	0.942	0.802	0.716	UniRef:UniRef50_A0A1H9PM53
contig_1	cds	4412	5200	-	FGLLDJ_00006	271.0	6.5e-90	0.969	0.973	0.551	UniRef:UniRef50_A0A5C9A1K0
contig_1	cds	5203	6414	-	FGLLDJ_00007	461.0	1.0e-159	1.005	0.910	0.600	UniRef:UniRef50_C4LIR6
contig_1	cds	6578	7582	-	FGLLDJ_00008	417.0	1.4e-144	0.967	0.864	0.669	UniRef:UniRef50_A0QWW2
contig_1	cds	7696	8541	-	FGLLDJ_00009	-	-	-	-	-	-
contig_1	cds	8658	8861	+	FGLLDJ_00010	-	-	-	-	-	-
contig_1	cds	9073	9795	-	FGLLDJ_00011	252.0	1.6e-82	0.925	0.813	0.604	UniRef:UniRef50_S3WYT3
contig_1	cds	9861	10844	-	FGLLDJ_00012	375.0	1.5e-127	0.997	0.825	0.641	UniRef:UniRef50_Q8NQ58
contig_1	cds	10888	11856	-	FGLLDJ_00013	311.0	7.8e-103	0.978	0.847	0.556	UniRef:UniRef50_A0A7V8NDT9
contig_1	cds	11853	12737	-	FGLLDJ_00014	320.0	4.4e-107	0.952	0.802	0.568	UniRef:UniRef50_B8H7M0
contig_1	cds	12906	14900	-	FGLLDJ_00015	880.0	0.0	0.989	0.998	0.661	UniRef:UniRef50_Q9CCP1
contig_1	cds	14945	16387	+	FGLLDJ_00016	917.0	0.0	1.0	1.0	1.0	UniRef:UniRef50_D7GEQ9
contig_1	cds	16362	17015	+	FGLLDJ_00017	233.0	3.2e-75	1.166	0.904	0.534	UniRef:UniRef50_K6XCZ8
contig_1	cds	17118	17999	+	FGLLDJ_00018	336.0	1.0e-113	0.997	0.851	0.599	UniRef:UniRef50_S3WUP5
contig_1	cds	17996	19162	+	FGLLDJ_00019	709.0	1.2e-258	1.0	1.0	0.982	UniRef:UniRef50_D7GER2
contig_1	cds	19304	19840	+	FGLLDJ_00020	362.0	2.4e-128	1.0	1.0	1.0	UniRef:UniRef50_D7GER3
contig_1	cds	19855	22920	-	FGLLDJ_00021	1365.0	0.0	0.930	0.861	0.706	UniRef:UniRef50_C8XAS6
contig_1	cds	23132	23878	+	FGLLDJ_00022	352.0	6.5e-122	1.0	0.954	0.669	UniRef:UniRef50_D7GER5
contig_1	cds	23880	24473	+	FGLLDJ_00023	226.0	1.8e-73	0.990	0.882	0.600	UniRef:UniRef50_A0A7X7V5S7
contig_1	cds	24508	25542	-	FGLLDJ_00024	285.0	1.4e-92	0.913	0.851	0.500	UniRef:UniRef50_M4RCC7
contig_1	cds	25733	27817	-	FGLLDJ_00025	951.0	0.0	1.010	0.971	0.706	UniRef:UniRef50_Q6NHI3
contig_1	cds	27892	28560	-	FGLLDJ_00026	429.0	1.4e-153	1.0	1.0	1.0	UniRef:UniRef50_D7GER9
contig_1	cds	28564	29340	-	FGLLDJ_00027	309.0	2.4e-104	1.004	0.878	0.610	UniRef:UniRef50_D7GES0
contig_1	cds	29457	30911	-	FGLLDJ_00028	664.0	1.2e-236	0.983	0.853	0.784	UniRef:UniRef50_P9WH43
contig_1	cds	31274	32740	-	FGLLDJ_00029	513.0	2.3e-177	0.967	0.904	0.572	UniRef:UniRef50_A0A0H5P3U0
contig_1	cds	32960	33673	+	FGLLDJ_00030	415.0	3.8e-147	0.916	0.851	0.972	UniRef:UniRef50_D7GES3
contig_1	cds	33693	36371	-	FGLLDJ_00031	1024.0	0.0	1.006	0.917	0.581	UniRef:UniRef50_A0A7J9YE79
contig_1	cds	36478	37101	-	FGLLDJ_00032	250.0	1.5e-82	0.961	0.816	0.638	UniRef:UniRef50_K0YRN2
contig_1	tRNA	37321	37403	+	FGLLDJ_00033	68.2	-	-	-	-	-
contig_1	cds	37665	39098	-	FGLLDJ_00034	446.0	4.8e-152	0.933	0.918	0.548	UniRef:UniRef50_A0A7J9ZWT5
contig_1	cds	39414	40334	-	FGLLDJ_00035	354.0	3.5e-120	0.980	0.804	0.620	UniRef:UniRef50_P9WHQ3
contig_1	cds	40331	40876	-	FGLLDJ_00036	-	-	-	-	-	-
contig_1	cds	40933	41361	-	FGLLDJ_00037	140.0	2.2e-41	0.901	0.805	0.547	UniRef:UniRef50_G4D0C4
contig_1	cds	41436	42434	-	FGLLDJ_00038	138.0	8.9e-36	1.018	0.869	0.565	UniRef:UniRef50_A0A375I1J3
contig_1	cds	42571	42864	-	FGLLDJ_00039	-	-	-	-	-	-
contig_1	cds	42868	43389	-	FGLLDJ_00040	-	-	-	-	-	-
contig_1	cds	43541	44329	-	FGLLDJ_00041	285.0	1.2e-94	0.992	0.867	0.604	UniRef:UniRef50_A0A1G7DLN2
contig_1	cds	44339	45580	-	FGLLDJ_00042	384.0	1.5e-129	1.034	1.007	0.553	UniRef:UniRef50_D7BNB2
contig_1	cds	45798	46529	-	FGLLDJ_00043	446.0	2.9e-159	1.0	1.0	0.959	UniRef:UniRef50_D7GET5
contig_1	cds	46526	47968	-	FGLLDJ_00044	-	-	-	-	-	-
contig_1	cds	47965	49065	-	FGLLDJ_00045	360.0	3.8e-121	1.0	0.922	0.546	UniRef:UniRef50_Q6A9Q2
contig_1	cds	49065	50330	-	FGLLDJ_00046	476.0	2.5e-165	0.986	0.954	0.617	UniRef:UniRef50_D7GET8
contig_1	cds	50523	51944	-	FGLLDJ_00047	514.0	6.2e-178	1.0	0.892	0.581	UniRef:UniRef50_A0A561ECA7
contig_1	cds	52004	53080	-	FGLLDJ_00048	368.0	1.1e-124	1.056	0.995	0.542	UniRef:UniRef50_D6ZGZ0
contig_1	cds	53077	54561	-	FGLLDJ_00049	504.0	4.6e-174	0.990	0.953	0.601	UniRef:UniRef50_S3XB38
contig_1	cds	54563	56152	-	FGLLDJ_00050	488.0	1.7e-166	0.890	0.828	0.575	UniRef:UniRef50_A0A3Q9UFH6
contig_1	cds	56152	58215	-	FGLLDJ_00051	1259.0	0.0	1.0	1.0	0.999	UniRef:UniRef50_D7GEU3
contig_1	cds	58212	58730	-	FGLLDJ_00052	283.0	2.2e-97	1.023	1.0	0.960	UniRef:UniRef50_A0A2C7ATR8
contig_1	cds	58727	59755	-	FGLLDJ_00053	323.0	2.9e-107	0.985	0.864	0.579	UniRef:UniRef50_A0A1L3MFK5
contig_1	ncRNA-region	59829	59939	-	-	61.9	1.2e-09	-	-	-	RFAM:RF01746
contig_1	cds	59934	60371	-	FGLLDJ_00054	160.0	3.8e-49	0.972	0.855	0.539	UniRef:UniRef50_Q8FNT1
contig_1	cds	60594	60977	-	FGLLDJ_00055	132.0	4.3e-39	1.055	1.008	0.597	UniRef:UniRef50_A0A1H9PJB1
contig_1	cds	61017	62258	-	FGLLDJ_00056	417.0	4.3e-142	0.947	0.875	0.578	UniRef:UniRef50_A0A6A9UZK3
contig_1	cds	62285	65905	-	FGLLDJ_00057	2378.0	0.0	1.0	1.0	1.0	UniRef:UniRef50_A0A2C7Z4P8
contig_1	cds	65917	66318	-	FGLLDJ_00058	-	-	-	-	-	-
contig_1	cds	66532	68742	+	FGLLDJ_00059	772.0	2.0e-271	1.043	0.977	0.572	UniRef:UniRef50_S2VZH0
contig_1	cds	68696	69637	-	FGLLDJ_00060	440.0	1.3e-154	0.968	0.927	0.716	UniRef:UniRef50_A0A7W0XZT5
contig_1	cds	69683	70753	+	FGLLDJ_00061	-	-	-	-	-	-
contig_1	cds	70877	73147	+	FGLLDJ_00062	763.0	1.6e-267	1.015	0.968	0.550	UniRef:UniRef50_A0A1H9PIT6
contig_1	cds	73190	74113	+	FGLLDJ_00063	296.0	3.8e-98	0.925	0.877	0.563	UniRef:UniRef50_A0A1H9PIL8
